,Country,Time,Value
0,Belize,2015,6.87015
1,Belize,2016,7.29365
2,Belize,2017,7.45028
3,Belize,2018,7.47227
4,Belize,2019,7.13839
5,Belize,2020,7.94096
6,Costa Rica,2015,6.8735
7,Costa Rica,2016,6.89396
8,Costa Rica,2017,7.06981
9,Costa Rica,2018,6.77907
10,Costa Rica,2019,6.80879
11,Costa Rica,2020,6.74626
12,Guatemala,2015,3.03033
13,Guatemala,2016,2.94474
14,Guatemala,2017,2.9501
15,Guatemala,2018,3.13705
16,Guatemala,2019,3.19928
17,Guatemala,2020,3.29972
18,Mexico,2015,5.22942
19,Mexico,2016,4.90682
20,Mexico,2017,4.51822
21,Mexico,2018,4.25443
22,Panama,2015,2.83629
23,Panama,2016,2.84608
24,Panama,2017,2.88224
25,Panama,2018,2.88293
26,Panama,2019,3.12736
27,El Salvador,2015,3.90988
28,El Salvador,2016,3.82524
29,El Salvador,2017,3.72523
30,El Salvador,2018,3.60575
31,El Salvador,2019,3.38516
32,Honduras,2015,6.41297
33,Honduras,2016,5.15962
34,Honduras,2017,4.93702
35,Honduras,2018,6.05647
36,Honduras,2019,4.91285
37,Nicaragua,2015,4.07843
38,Nicaragua,2016,4.08114
39,Nicaragua,2017,4.35769
40,Nicaragua,2018,3.56255
41,Nicaragua,2019,3.44283
