,Country,Time,Value
0,El Salvador,2015,6.9747
1,El Salvador,2016,11.81051
2,El Salvador,2017,17.21433
3,El Salvador,2018,16.99053
4,El Salvador,2019,21.73742
5,Panama,2015,9.60885
6,Panama,2017,12.17886
7,Panama,2020,24.17525
8,Honduras,2015,36.89601
9,Honduras,2016,38.12072
10,Honduras,2017,38.18542
11,Honduras,2018,39.49258
12,Honduras,2019,37.62645
13,Honduras,2020,42.67747
14,Guatemala,2015,28.3514
15,Guatemala,2016,30.96652
16,Guatemala,2017,33.09156
17,Guatemala,2018,32.75571
18,Guatemala,2020,34.68919
19,Belize,2015,11.18837
20,Belize,2016,12.33727
21,Belize,2017,11.22523
22,Belize,2018,10.11157
23,Belize,2019,10.04216
24,Belize,2020,15.2496
25,Costa Rica,2015,5.8815
26,Costa Rica,2016,5.44125
27,Costa Rica,2017,8.59513
28,Costa Rica,2018,3.75117
29,Costa Rica,2019,1.91449
30,Costa Rica,2020,3.8524
31,Canada,2015,0.07248
32,Mexico,2015,2.42849
33,Mexico,2016,3.3883
34,Mexico,2017,5.93956
35,Mexico,2018,7.78914
36,Mexico,2019,7.64868
